"*The expenditure data in this dashboard is based on General Fund Expenditure data for:
- Years 2013-14 through 2016-17 Actuals
01 - GENERAL FUND,RESTRICTED,9115 - MPR FINANCIAL CORPORATION,District Wide,998 - School Contingency Funds,3401 - HEALTH & WELFARE CERTIFICATED,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9115 - MPR FINANCIAL CORPORATION,District Wide,998 - School Contingency Funds,3501 - ST UNEMPLOY INS CERTIFICATED,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9115 - MPR FINANCIAL CORPORATION,District Wide,998 - School Contingency Funds,3601 - WORKERS COMP CERTIFICATED,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9115 - MPR FINANCIAL CORPORATION,District Wide,998 - School Contingency Funds,3901 - OTHER BENEFITS CERTIFICATED,$0 ,($5),$0 ,$5.04 
01 - GENERAL FUND,RESTRICTED,9115 - MPR FINANCIAL CORPORATION,District Wide,998 - School Contingency Funds,4391 - CARRYOVER - PRIOR YEAR,"$1,077 ",$0 ,$0 ,"$1,077.28 "
01 - GENERAL FUND,RESTRICTED,9234 - S.H. COWELL FOUNDATION,District Wide,998 - School Contingency Funds,4391 - CARRYOVER - PRIOR YEAR,"$18,164 ",$0 ,$0 ,"$18,163.76 "
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,998 - School Contingency Funds,4391 - CARRYOVER - PRIOR YEAR,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1105 - TEACHERS SALARIES,"($44,140,199)","$1,373,591 ","$351,856 ","($45,865,646.82)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1119 - TEACHER ON SPEC ASSIN SCHOOL,"($440,024)","$123,217 ","$25,714 ","($588,955.01)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1120 - TEACHERS SALARIES STIPENDS,"$602,062 ","$308,437 ","$35,000 ","$258,625.24 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1122 - TEACHERS SALARIES EXTRA COMP,$0 ,"($1,416)",$0 ,"$1,416.29 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1128 - TEACHERS SALARIES HOURLY,$0 ,($453),$0 ,$453.23 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1150 - TEACHERS SUBSTITUTES,"$136,697 ","($24,801)",$0 ,"$161,498.24 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1154 - TEACHERS SUBS FOR RELEASETIME,$0 ,"$25,057 ",$0 ,"($25,056.79)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1205 - PUPILSUPPT SALARIES,"($302,285)","$24,778 ","$5,557 ","($332,620.24)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1220 - PUPILSUPPT SALARIES STIPENDS,$0 ,($916),$0 ,$916.44 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1222 - PUPILSUPPT SALARIES EXTRA COMP,$0 ,"($1,250)",$0 ,"$1,249.68 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,"1305 - SUPV, ADMIN, INSTR COACHES SAL","$104,476 ","$91,236 ","$17,413 ","($4,172.67)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1320 - SUPV&ADM SALARIES STIPENDS,"$88,000 ",$0 ,$0 ,"$88,000.00 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1350 - SUPV&ADM SUBSTITUTES,"$1,791 ","$46,675 ",$0 ,"($44,883.87)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1905 - OTHERCERT SALARIES,($257),"($1,635)",$0 ,"$1,377.65 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,1920 - OTHERCERT SALARIES STIPENDS,$0 ,$189 ,$0 ,($188.54)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,2105 - INSTRAIDES SALARIES,"$30,669 ","$25,718 ","$6,060 ","($1,108.50)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,2205 - CLASSSUPPT SALARIES,"($856,464)","$46,097 ","$8,071 ","($910,631.68)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,2305 - SUPV&ADM SALARIES,"($96,701)","$92,969 ",$0 ,"($189,670.25)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,2405 - CLERICAL SALARIES,"$46,935 ","$37,369 ","$8,763 ",$803.77 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,2420 - CLERICAL SALARIES STIPENDS,"$42,242 ","$5,392 ",$0 ,"$36,850.00 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,2422 - CLERICAL SALARIES EXTRA COMP,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,2425 - CLERICAL SALARIES OVERTIME,$148 ,$148 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,2450 - CLERICAL SUBSTITUTES,"$214,840 ","$14,763 ",$0 ,"$200,076.72 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,2905 - OTHERCLASS SALARIES,"($37,563)",$0 ,$0 ,"($37,563.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3101 - STRS CERTIFICATED,"($367,293)","$172,185 ","$46,841 ","($586,319.39)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3102 - STRS CLASSIFIED,"($135,807)",$0 ,$0 ,"($135,807.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3201 - PERS CERTIFICATED,"$8,500 ","$13,336 ","$2,980 ","($7,815.92)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3202 - PERS CLASSIFIED,"($96,556)","$30,187 ","$3,556 ","($130,298.48)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED","($169,228)","$5,934 ","$2,696 ","($177,858.10)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","($68,655)","$12,405 ","$1,233 ","($82,293.29)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3321 - MEDICARE CERTIFICATED,$645 ,"$27,465 ","$5,606 ","($32,426.68)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3322 - MEDICARE CLASSIFIED,"($8,564)","$3,212 ",$332 ,"($12,108.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3332 - ALTERNATIVE RET CLASSIFIED,($33),$0 ,$0 ,($33.00)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3341 - PARS CERTIFICATED,$67 ,"$1,080 ",$414 ,"($1,427.28)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3342 - PARS CLASSIFIED,"($7,124)",$76 ,$340 ,"($7,540.83)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3401 - HEALTH & WELFARE CERTIFICATED,"($2,510,903)","$234,371 ","$53,537 ","($2,798,811.41)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3402 - HEALTH & WELFARE CLASSIFIED,"($1,104,876)","$33,757 ","$5,187 ","($1,143,819.50)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3501 - ST UNEMPLOY INS CERTIFICATED,"$1,198 ","$2,136 ",$429 ,"($1,367.32)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3502 - ST UNEMPLOY INS CLASSIFIED,"($1,558)",$237 ,$24 ,"($1,819.18)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3601 - WORKERS COMP CERTIFICATED,"($241,390)","$118,706 ","$24,032 ","($384,129.03)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3602 - WORKERS COMP CLASSIFIED,"($133,094)","$12,789 ","$1,374 ","($147,256.31)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3901 - OTHER BENEFITS CERTIFICATED,"$1,322 ","$1,950 ",$428 ,"($1,055.73)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,3902 - OTHER BENEFITS CLASSIFIED,"$5,298 ","$4,544 ","$1,015 ",($260.94)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,4310 - SUPPLIES,"$18,137 ",$0 ,$0 ,"$18,136.63 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,4391 - CARRYOVER - PRIOR YEAR,"($554,214)",$0 ,$0 ,"($554,214.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,4399 - SURPLUS,"($245,672)",$0 ,$0 ,"($245,672.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,"4420 - COMPUTER < $5,000","$1,684 ","$1,684 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,5825 - CONSULTANTS,"$394,506 ","$150,000 ","$190,000 ","$54,506.00 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,5826 - EXTERNAL WORK ORDER SERVICES,"$28,112 ","$1,040 ","$1,620 ","$25,451.73 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,998 - School Contingency Funds,5930 - TELEPHONE,"$2,912,381 ","$1,050,743 ",$0 ,"$1,861,638.00 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,1105 - TEACHERS SALARIES,"$608,899 ","$494,981 ","$123,865 ","($9,947.44)"
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,1119 - TEACHER ON SPEC ASSIN SCHOOL,"$326,966 ",$0 ,$0 ,"$326,965.71 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,1120 - TEACHERS SALARIES STIPENDS,"$42,992 ","$21,235 ",$0 ,"$21,756.97 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,1320 - SUPV&ADM SALARIES STIPENDS,"$3,312 ","$15,000 ",$0 ,"($11,688.00)"
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,2420 - CLERICAL SALARIES STIPENDS,$0 ,"$1,000 ",$0 ,"($1,000.00)"
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3101 - STRS CERTIFICATED,"$135,088 ","$73,126 ","$17,874 ","$44,087.61 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3201 - PERS CERTIFICATED,$0 ,$54 ,$0 ,($53.72)
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$0 ,$75 ,$0 ,($74.66)
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED",$0 ,$38 ,$0 ,($37.50)
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3321 - MEDICARE CERTIFICATED,"$13,550 ","$7,703 ","$1,796 ","$4,051.79 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3322 - MEDICARE CLASSIFIED,$0 ,$15 ,$0 ,($14.50)
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3401 - HEALTH & WELFARE CERTIFICATED,"$179,833 ","$93,353 ","$22,783 ","$63,696.12 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3501 - ST UNEMPLOY INS CERTIFICATED,"$1,000 ",$568 ,$133 ,$299.33 
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3502 - ST UNEMPLOY INS CLASSIFIED,$0 ,$1 ,$0 ,($1.07)
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3601 - WORKERS COMP CERTIFICATED,"$56,029 ","$31,831 ","$7,432 ","$16,766.40 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3602 - WORKERS COMP CLASSIFIED,$0 ,$60 ,$0 ,($60.00)
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,3901 - OTHER BENEFITS CERTIFICATED,$803 ,$439 ,$103 ,$261.13 
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,4310 - SUPPLIES,"$105,404 ","$79,765 ","$19,729 ","$5,909.65 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,4311 - MEETING REFRESHMENTS,"$1,500 ",$170 ,"$1,330 ",$0.00 
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,5825 - CONSULTANTS,"$1,121,503 ","$631,030 ","$384,369 ","$106,104.00 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,5826 - EXTERNAL WORK ORDER SERVICES,"$3,400 ","$3,400 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,5846 - LICENSING AGREEMENTS,"$26,000 ","$17,698 ",$0 ,"$8,301.89 "
01 - GENERAL FUND,UNRESTRICTED,0005 - CENTRAL OFFICE SUPPLEMENTAL,District Wide,998 - School Contingency Funds,5930 - TELEPHONE,"$39,287 ","$28,826 ","$1,174 ","$9,286.50 "
01 - GENERAL FUND,UNRESTRICTED,0020 - Home & Hospital,District Wide,998 - School Contingency Funds,1105 - TEACHERS SALARIES,"$527,130 ","$416,603 ","$96,037 ","$14,490.62 "
01 - GENERAL FUND,UNRESTRICTED,0020 - Home & Hospital,District Wide,998 - School Contingency Funds,3101 - STRS CERTIFICATED,"$69,000 ","$55,651 ","$12,753 ",$595.88 
01 - GENERAL FUND,UNRESTRICTED,0020 - Home & Hospital,District Wide,998 - School Contingency Funds,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED","$2,800 ",$0 ,$0 ,"$2,800.00 "
01 - GENERAL FUND,UNRESTRICTED,0020 - Home & Hospital,District Wide,998 - School Contingency Funds,3321 - MEDICARE CERTIFICATED,"$7,000 ","$5,571 ","$1,281 ",$147.06 
01 - GENERAL FUND,UNRESTRICTED,0020 - Home & Hospital,District Wide,998 - School Contingency Funds,3401 - HEALTH & WELFARE CERTIFICATED,"$113,200 ","$84,300 ","$17,737 ","$11,163.23 "
01 - GENERAL FUND,UNRESTRICTED,0020 - Home & Hospital,District Wide,998 - School Contingency Funds,3501 - ST UNEMPLOY INS CERTIFICATED,$600 ,$445 ,$103 ,$51.87 
01 - GENERAL FUND,UNRESTRICTED,0020 - Home & Hospital,District Wide,998 - School Contingency Funds,3601 - WORKERS COMP CERTIFICATED,"$31,000 ","$24,996 ","$5,762 ",$242.03 
01 - GENERAL FUND,UNRESTRICTED,0020 - Home & Hospital,District Wide,998 - School Contingency Funds,3901 - OTHER BENEFITS CERTIFICATED,$500 ,$396 ,$91 ,$13.60 
01 - GENERAL FUND,UNRESTRICTED,0020 - Home & Hospital,District Wide,998 - School Contingency Funds,5825 - CONSULTANTS,"$120,000 ","$91,680 ","$22,920 ","$5,400.00 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,1105 - TEACHERS SALARIES,"$1,011,827 ","$650,501 ","$166,122 ","$195,204.08 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,1119 - TEACHER ON SPEC ASSIN SCHOOL,"$157,611 ","$137,979 ","$28,644 ","($9,011.74)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,1120 - TEACHERS SALARIES STIPENDS,"$23,288 ","$23,288 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,1150 - TEACHERS SUBSTITUTES,"$15,122 ","$25,042 ",$0 ,"($9,920.74)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,1205 - PUPILSUPPT SALARIES,"$139,416 ","$117,941 ","$30,024 ","($8,548.19)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,1320 - SUPV&ADM SALARIES STIPENDS,"$6,712 ","$6,712 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,1350 - SUPV&ADM SUBSTITUTES,"$8,409 ",$438 ,$0 ,"$7,971.47 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,2105 - INSTRAIDES SALARIES,"$27,730 ","$23,961 ","$5,700 ","($1,930.94)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,2120 - INSTRAIDES SALARIES STIPENDS,"$1,864 ","$1,864 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,2205 - CLASSSUPPT SALARIES,"$424,301 ","$333,768 ","$92,102 ","($1,569.48)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,2305 - SUPV&ADM SALARIES,"$30,554 ","$26,535 ","$5,546 ","($1,526.57)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,2420 - CLERICAL SALARIES STIPENDS,$0 ,"$5,371 ",$0 ,"($5,370.80)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,2425 - CLERICAL SALARIES OVERTIME,$0 ,$817 ,$0 ,($816.71)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3101 - STRS CERTIFICATED,"$96,989 ","$123,022 ","$29,248 ","($55,281.40)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3102 - STRS CLASSIFIED,"$4,409 ","$3,780 ",$800 ,($171.47)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3201 - PERS CERTIFICATED,$78 ,"$11,197 ","$2,837 ","($13,956.35)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3202 - PERS CLASSIFIED,"$67,960 ","$54,904 ","$14,874 ","($1,817.98)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED","$3,416 ","$1,262 ",$293 ,"$1,860.63 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$26,222 ","$21,125 ","$5,600 ",($504.04)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3321 - MEDICARE CERTIFICATED,"$7,072 ","$13,899 ","$3,259 ","($10,087.21)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3322 - MEDICARE CLASSIFIED,"$7,025 ","$5,746 ","$1,499 ",($219.71)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3342 - PARS CLASSIFIED,"$2,379 ",$185 ,$297 ,"$1,897.62 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3401 - HEALTH & WELFARE CERTIFICATED,"$119,738 ","$190,175 ","$45,752 ","($116,188.70)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3402 - HEALTH & WELFARE CLASSIFIED,"$161,706 ","$119,716 ","$39,483 ","$2,507.69 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3501 - ST UNEMPLOY INS CERTIFICATED,$522 ,"$1,028 ",$241 ,($747.07)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3502 - ST UNEMPLOY INS CLASSIFIED,$518 ,$418 ,$111 ,($10.31)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3601 - WORKERS COMP CERTIFICATED,"$29,741 ","$57,754 ","$13,487 ","($41,500.67)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3602 - WORKERS COMP CLASSIFIED,"$30,273 ","$23,458 ","$6,201 ",$614.42 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3901 - OTHER BENEFITS CERTIFICATED,$164 ,$860 ,$209 ,($903.89)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,3902 - OTHER BENEFITS CLASSIFIED,"$9,991 ","$11,728 ","$2,321 ","($4,058.22)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,4100 - TEXTBOOKS,$0 ,"$14,845 ",$155 ,"($15,000.00)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,4200 - BOOKS-OTHER THAN TEXTBOOKS,"$12,000 ","$5,626 ","$6,374 ",$0.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,4310 - SUPPLIES,"$29,946 ","$19,285 ","$9,704 ",$956.92 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,4311 - MEETING REFRESHMENTS,"$10,000 ",$0 ,"$10,000 ",$0.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,4399 - SURPLUS,"$3,058 ",$0 ,"$3,058 ",$0.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,5200 - TRAVEL AND CONFERENCES,"$1,152 ","$1,017 ",$0 ,$135.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,5220 - CONFERENCE  EXPENSE,$300 ,$300 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,998 - School Contingency Funds,5674 - REPAIRS CONT  - EQUIP AV,"$6,000 ","$5,067 ",$0 ,$933.16 
